handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
cabin-tee,Mountain Cabin Tee,Soft tri-blend tee in forest green. Hand-drawn cabin and banjo illustration.,Holler Creek,T-Shirts,bestseller;green;soft,32.99,39.99,CABIN-TEE-S,60,0.35,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Small
cabin-tee,Mountain Cabin Tee,Soft tri-blend tee in forest green. Hand-drawn cabin and banjo illustration.,Holler Creek,T-Shirts,bestseller;green;soft,32.99,39.99,CABIN-TEE-M,90,0.35,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Medium
cabin-tee,Mountain Cabin Tee,Soft tri-blend tee in forest green. Hand-drawn cabin and banjo illustration.,Holler Creek,T-Shirts,bestseller;green;soft,32.99,39.99,CABIN-TEE-L,75,0.4,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Large
cabin-tee,Mountain Cabin Tee,Soft tri-blend tee in forest green. Hand-drawn cabin and banjo illustration.,Holler Creek,T-Shirts,bestseller;green;soft,32.99,39.99,CABIN-TEE-XL,50,0.45,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,X-Large
henley,Porch Session Henley,Oatmeal colored henley with wooden buttons. Embroidered logo on sleeve. Organic cotton.,Holler Creek,Shirts,premium;organic;natural,48.99,59.99,HEN-PORCH-S,35,0.5,lb,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800,Size,Small
henley,Porch Session Henley,Oatmeal colored henley with wooden buttons. Embroidered logo on sleeve. Organic cotton.,Holler Creek,Shirts,premium;organic;natural,48.99,59.99,HEN-PORCH-M,50,0.55,lb,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800,Size,Medium
henley,Porch Session Henley,Oatmeal colored henley with wooden buttons. Embroidered logo on sleeve. Organic cotton.,Holler Creek,Shirts,premium;organic;natural,48.99,59.99,HEN-PORCH-L,40,0.6,lb,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800,Size,Large
wool-beanie,Hand-Knit Wool Beanie,100% wool beanie in walnut brown. Knit by local Appalachian artisans.,Holler Creek,Headwear,winter;handmade;wool,36.99,,BEANIE-WOOL,80,0.2,lb,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,,
canvas-bag,Waxed Canvas Tote,Durable waxed canvas tote with leather handles. Screen printed logo. Made in Tennessee.,Holler Creek,Bags,bags;handmade;premium,54.99,,TOTE-WAXED,60,0.8,lb,https://images.unsplash.com/photo-1544816155-12df9643f363?w=800,,
enamel-mug,Campfire Enamel Mug,12oz enamel camp mug with mountain sunrise design. Speckled cream finish.,Holler Creek,Drinkware,drinkware;camping;gift,18.99,,MUG-CAMP,150,0.4,lb,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=800,,
vinyl-album,Porch Songs Vinyl,Debut album on 140g vinyl. Recorded live on the porch. Includes lyric insert.,Holler Creek,Music,vinyl;debut;folk,29.99,,VINYL-PORCH,100,0.9,lb,https://images.unsplash.com/photo-1539375665275-f9de415ef9ac?w=800,,
bandana,Quilt Pattern Bandana,Cotton bandana with traditional quilt block pattern. Hand-printed in small batches.,Holler Creek,Accessories,accessories;handmade;pattern,16.99,,BAND-QUILT,180,0.1,lb,https://images.unsplash.com/photo-1590330297626-d7aff25a0431?w=800,,
wooden-coasters,Walnut Coaster Set,Set of 4 solid walnut coasters with laser-etched logo. Made by local woodworker.,Holler Creek,Home,home;gift;handmade,28.99,,COAST-WALNT,90,0.6,lb,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,
hoodie,Holler Creek Hoodie,Sage green pullover hoodie. Soft fleece interior. Minimalist logo embroidery.,Holler Creek,Hoodies,winter;sage;comfortable,59.99,74.99,HOOD-SAGE-S,30,1.0,lb,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,Size,Small
hoodie,Holler Creek Hoodie,Sage green pullover hoodie. Soft fleece interior. Minimalist logo embroidery.,Holler Creek,Hoodies,winter;sage;comfortable,59.99,74.99,HOOD-SAGE-M,45,1.05,lb,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,Size,Medium
hoodie,Holler Creek Hoodie,Sage green pullover hoodie. Soft fleece interior. Minimalist logo embroidery.,Holler Creek,Hoodies,winter;sage;comfortable,59.99,74.99,HOOD-SAGE-L,40,1.1,lb,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,Size,Large
sticker-sheet,Folk Art Sticker Sheet,Sheet of 8 die-cut stickers. Banjos fiddles mountains and more. Waterproof vinyl.,Holler Creek,Accessories,accessories;stickers;cheap,8.99,,STICK-FOLK,400,0.05,lb,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,
guitar-strap,Woven Guitar Strap,Handwoven guitar strap with traditional patterns. Leather ends. 2 inches wide.,Holler Creek,Instruments,instruments;handmade;premium,64.99,,STRAP-WOVEN,45,0.3,lb,https://images.unsplash.com/photo-1510915361894-db8b60106cb1?w=800,,
